section,n_glyphs,status,connective,n_slots,period,Pi_robust,slot_cv,z_A,p_A,z_B,p_B,Pi_aug,p_B_aug,result
Aa,885,evaluable,004,36,12.7,0.3334,1.2452,-0.94,0.8262,-1.04,0.8571,0.444,0.2118,null
Ab,911,evaluable,004,36,13.3,0.3294,1.283,0.07,0.4226,-0.48,0.6583,0.2973,0.999,null
Br,544,evaluable,002,17,14.1,0.3444,1.2155,-2.2,0.994,-2.23,0.996,0.3952,0.8591,null
Bv,725,evaluable,006,23,12.8,0.4524,1.0516,0.24,0.3596,0.16,0.3866,0.4212,0.6663,null
Ca,515,evaluable,041,16,12.55,0.6484,1.6663,2.7,0.018,2.14,0.033,0.6806,0.006,null
Cb,484,evaluable,002,25,12.05,0.4648,1.7536,1.11,0.1339,0.63,0.2448,0.4309,0.3776,null
Da,165,evaluable,?,17,12.35,0.5349,1.351,-0.35,0.6084,-0.62,0.7223,0.5349,0.8412,null
Db,118,evaluable,006,8,13.65,0.4344,0.9973,-0.52,0.6783,-0.76,0.7612,0.4344,0.7832,null
Er,464,evaluable,670,13,11.75,0.4738,1.0694,-0.99,0.8492,-1.44,0.9351,0.5332,0.6124,null
Ev,422,evaluable,006,17,12.95,0.4917,1.2613,0.19,0.3796,0.08,0.4376,0.4917,0.4286,null
Fa,51,evaluable,000!,7,11.5,0.5189,0.6976,0.78,0.2128,0.64,0.2637,0.5189,0.2737,null
Fb,30,evaluable,?,12,14.5,0.119,1.0059,-1.13,0.9001,-1.1,0.8751,0.119,0.8731,null
Gr,359,evaluable,006,14,13.75,0.3286,1.983,-3.42,1.0,-3.34,1.0,0.3286,1.0,null
Gv,356,evaluable,200,11,12.05,0.3669,1.2537,-2.44,0.998,-2.82,1.0,0.3669,1.0,null
Hr,789,evaluable,003a,30,11.7,0.314,2.0479,-0.49,0.6743,-0.99,0.8432,0.4085,0.7273,null
Hv,849,evaluable,010,29,11.7,0.3387,1.2724,-0.99,0.8292,-1.1,0.8861,0.3241,0.975,null
Ia,2431,evaluable,090,98,13.35,0.2388,1.301,-0.26,0.5594,-0.06,0.4935,0.2281,0.6603,null
Ja,2,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Kr,141,evaluable,000!,9,13.55,0.6347,2.1971,0.23,0.3736,-0.47,0.6853,0.6347,0.7193,null
Kv,127,evaluable,003,15,11.5,0.2867,0.5602,-1.73,0.985,-1.54,0.952,0.2867,0.957,null
La,49,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ma,91,evaluable,006,8,12.15,0.6771,1.7957,1.99,0.032,0.85,0.2208,0.6939,0.0869,null
Na,158,evaluable,?,8,11.5,0.7004,1.2578,0.16,0.4326,0.07,0.4575,0.7004,0.4525,null
Nb,114,evaluable,?,8,11.5,0.5655,1.5733,0.67,0.2478,-0.16,0.5504,0.5655,0.5065,null
Oa,147,evaluable,000!,24,11.75,0.3136,0.7753,0.28,0.3676,0.19,0.4116,0.3136,0.3926,null
Pr,832,evaluable,004,27,13.1,0.3109,1.1898,-1.64,0.969,-1.97,0.995,0.4109,0.8402,null
Pv,745,evaluable,001,23,13.3,0.3438,1.1129,-1.46,0.9431,-1.39,0.9401,0.3906,0.7982,null
Qr,522,evaluable,001,18,11.8,0.4555,0.9929,0.46,0.2967,0.24,0.3696,0.4952,0.5035,null
Qv,435,evaluable,000!,20,14.35,0.5274,1.8611,0.55,0.2747,-0.3,0.6104,0.5586,0.5624,null
Ra,262,evaluable,200,7,13.15,0.6503,1.2216,-0.15,0.5295,-0.93,0.8182,0.6767,0.6823,null
Rb,230,evaluable,007,6,13.4,0.6812,0.4305,-0.17,0.5285,-0.34,0.6004,0.6812,0.7333,null
Sa,419,evaluable,?,17,14.4,0.5571,1.1169,0.8,0.1978,0.44,0.2927,0.5571,0.3017,null
Sb,463,evaluable,002,13,12.0,0.4833,1.4907,-0.58,0.6973,-0.65,0.7423,0.4833,0.8052,null
Ta,200,evaluable,?,26,12.95,0.506,1.5214,2.74,0.009,1.77,0.049,0.5429,0.5814,null
Ua,55,evaluable,000!,6,14.5,0.2101,0.7404,-1.69,0.981,-1.66,0.962,0.2101,0.96,null
Va,28,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Wa,16,evaluable,-,-,-,0.0,-,-,-,-,-,-,-,NULL (no enumeration signature)
Xa,42,evaluable,?,7,12.25,0.7618,1.0325,2.35,0.013,1.41,0.0969,0.7618,0.0869,null
Ya,24,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Yb,24,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Yc,28,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ye,12,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Yf,9,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
